noise_group,target,events,positives,prevalence,surprisal_auroc,surprisal_average_precision,gate_auroc,gate_average_precision,activation_threshold,activations,activation_precision,activation_recall,activation_false_positive_rate
all,latent_misreport,2940,126,0.04285714285714286,0.7899377827416207,0.24543283579059338,0.6419250121275708,0.2238455749434826,0.01,69,0.4782608695652174,0.2619047619047619,0.01279317697228145
all,wrong_report,2940,151,0.05136054421768708,0.7991316406222174,0.35342725015336707,0.6277036797826846,0.2928195913812568,0.01,69,0.6086956521739131,0.2781456953642384,0.00968088920760129
all,harmful_misreport,2940,112,0.0380952380952381,0.7957320923418872,0.2528854694890392,0.6941759067488381,0.24509580355049387,0.01,69,0.4782608695652174,0.29464285714285715,0.01272984441301273
0.00,latent_misreport,735,0,0.0,,,,,0.01,9,0.0,,0.012244897959183673
0.00,wrong_report,735,7,0.009523809523809525,0.7994505494505495,0.3032191177505931,0.6354984301412873,0.29257299627669997,0.01,9,0.2222222222222222,0.2857142857142857,0.009615384615384616
0.00,harmful_misreport,735,0,0.0,,,,,0.01,9,0.0,,0.012244897959183673
0.10,latent_misreport,735,22,0.029931972789115645,0.8379765395894428,0.2678266630636243,0.6785668749203111,0.2574737805338283,0.01,15,0.4666666666666667,0.3181818181818182,0.011220196353436185
0.10,wrong_report,735,28,0.0380952380952381,0.8293847241867044,0.4511773837972337,0.663391594261467,0.38968829700180735,0.01,15,0.6666666666666666,0.35714285714285715,0.007072135785007072
0.10,harmful_misreport,735,20,0.027210884353741496,0.8308741258741259,0.27536623946659394,0.718041958041958,0.2792728511810392,0.01,15,0.4666666666666667,0.35,0.011188811188811189
0.20,latent_misreport,735,49,0.06666666666666667,0.8030879990480158,0.424698602871681,0.7026239067055393,0.37246708350155316,0.01,27,0.6666666666666666,0.3673469387755102,0.013119533527696793
0.20,wrong_report,735,57,0.07755102040816327,0.8118045852093361,0.45638331055741027,0.6380349842157015,0.3724432635732705,0.01,27,0.7037037037037037,0.3333333333333333,0.011799410029498525
0.20,harmful_misreport,735,44,0.05986394557823129,0.8195303249572424,0.44643029254643785,0.7524174450730167,0.4050837975358207,0.01,27,0.6666666666666666,0.4090909090909091,0.013024602026049204
0.30,latent_misreport,735,55,0.07482993197278912,0.6968449197860963,0.18261818951857006,0.6240909090909091,0.17499920109214429,0.01,18,0.4444444444444444,0.14545454545454545,0.014705882352941176
0.30,wrong_report,735,59,0.08027210884353742,0.7160891585598235,0.2636892933822281,0.6447572961588607,0.22584649644159585,0.01,18,0.6111111111111112,0.1864406779661017,0.010355029585798817
0.30,harmful_misreport,735,48,0.0653061224489796,0.6947325327510917,0.17865954894496988,0.6809649442018437,0.1864141752193961,0.01,18,0.4444444444444444,0.16666666666666666,0.01455604075691412
