strategy,noise_rate,posterior_threshold,cases,accuracy,accuracy_ci_low,accuracy_ci_high,average_questions,questions_standard_error,brier_score
eig,0.0,0.6,4836,0.8870967741935484,0.8778682776534127,0.8957107584869436,5.386683209263854,0.056143374441270856,0.19391977227003662
eig,0.0,0.7,4836,0.9202508960573477,0.9122781308594047,0.9275565171726026,5.876895505927764,0.05725413563840872,0.13822198820665935
eig,0.0,0.8,4836,0.9379652605459058,0.9308132252211595,0.944422030412,6.296939619520264,0.059130730738791125,0.10387039407361794
eig,0.0,0.85,4836,0.9432726771436449,0.9363945868242126,0.949447076533806,6.677074717397297,0.06108652170879051,0.09120846036932635
eig,0.0,0.9,4836,0.9471326164874552,0.9404637978563755,0.9530916165742674,7.141990625861593,0.06277523911271822,0.0825227107674429
eig,0.0,0.95,4836,0.949820788530466,0.943302846505313,0.9556246445651938,7.787772263578716,0.06394251146164118,0.07569743392839136
eig,0.1,0.6,4836,0.8219602977667494,0.8109241662881542,0.8324853205016615,5.822098152743314,0.06020038828998989,0.2852817588249663
eig,0.1,0.7,4836,0.8520126826578439,0.8417261333243236,0.8617404153880696,6.413633857182244,0.061741073339114716,0.23425185859728445
eig,0.1,0.8,4836,0.8718637992831542,0.8621482626259048,0.880989005888558,6.945409429280397,0.06390248378217188,0.19787145589998836
eig,0.1,0.85,4836,0.8794458229942101,0.8699672302042453,0.8883220493457302,7.350771987868762,0.06547525372311098,0.1809383379911544
eig,0.1,0.9,4836,0.8879239040529363,0.8787240010427992,0.8965079817559767,7.869175627240144,0.06667821917467104,0.1620846527631777
eig,0.1,0.95,4836,0.894403087951475,0.8854269559835245,0.9027531089728714,8.588158257513095,0.06722982133262168,0.1476410438851742
eig,0.2,0.6,4836,0.7407637165701683,0.72822539944501,0.7529198237099518,6.2424179762889445,0.06341049697207597,0.4010429644210123
eig,0.2,0.7,4836,0.7736421284808381,0.7616347038003889,0.7852151490267506,6.9584367245657575,0.06524951769165964,0.3494746062987116
eig,0.2,0.8,4836,0.7935621725944307,0.7819261331981792,0.8047321849858982,7.563688999172871,0.06700873940289462,0.3133128674773951
eig,0.2,0.85,4836,0.8014888337468982,0.79001302108709,0.8124860359068413,8.016956162117452,0.06834224765165557,0.2942072536489176
eig,0.2,0.9,4836,0.8112765370829887,0.8000064562626573,0.8220524695225723,8.617659222497933,0.06903189180459036,0.27130479730468565
eig,0.2,0.95,4836,0.8205128205128206,0.8094471112967477,0.8310697188408338,9.395092362834298,0.06851113286846294,0.24897678343552743
eig,0.3,0.6,4836,0.6609456851392336,0.6474815705108076,0.674154300106666,6.609525778880617,0.06543391033918565,0.5188996663814597
eig,0.3,0.7,4836,0.6855527984560243,0.6723247984587074,0.6984862352467484,7.395092362834298,0.06707403391294318,0.48162338375453867
eig,0.3,0.8,4836,0.7049214226633582,0.6919097719951791,0.7176077626282681,8.122553074165976,0.06904430528998852,0.44782212446345554
eig,0.3,0.85,4836,0.7109870416322028,0.6980484851881102,0.7235906582637469,8.563482216708023,0.07002840407872618,0.4312160484168275
eig,0.3,0.9,4836,0.7215329473393989,0.7087288311899586,0.7339853821567481,9.227460711331679,0.07015664110912107,0.40471029913277995
eig,0.3,0.95,4836,0.7302178108629721,0.7175301832944797,0.7425399699656325,10.038185828508409,0.06859491583473017,0.3802498788274789
medrag_rdc,0.0,0.6,4836,0.666115246760408,0.6526967869895157,0.6792700002430802,10.109456851392336,0.07863263199077854,0.4430687886119578
medrag_rdc,0.0,0.7,4836,0.6705955334987593,0.6572185881087994,0.6837016601902358,10.58174800110284,0.07637049521358663,0.43070312585936027
medrag_rdc,0.0,0.8,4836,0.6721119382409705,0.6587491817012732,0.6852014688048648,11.313964709126,0.07044178418477993,0.4215843770176102
medrag_rdc,0.0,0.85,4836,0.673697270471464,0.6603495916039176,0.686769206664191,11.781293079680177,0.06540988573859169,0.4180537900343351
medrag_rdc,0.0,0.9,4836,0.6740419079128758,0.660697491659085,0.6871100343833652,12.284877309070858,0.05986102636513126,0.41687186439472607
medrag_rdc,0.0,0.95,4836,0.6742486903777226,0.6609062426524228,0.6873145200546323,12.73042459332782,0.0547535289549466,0.4166212323801994
medrag_rdc,0.1,0.6,4836,0.6044940722360077,0.590635574640586,0.6181866865397523,10.028260270195753,0.07877083284341962,0.5266749150020508
medrag_rdc,0.1,0.7,4836,0.6124896608767577,0.5986746049078753,0.6261261406371856,10.605045492142267,0.07636653724552626,0.5098977065482622
medrag_rdc,0.1,0.8,4836,0.6235180590019299,0.6097697030504966,0.6370703312734917,11.436862420733389,0.06954790640471013,0.4881655044163417
medrag_rdc,0.1,0.85,4836,0.6279294182519989,0.6142097751958203,0.6414459746397391,11.950165425971877,0.06403949075158653,0.4792005209239016
medrag_rdc,0.1,0.9,4836,0.6295836779707747,0.6158751130484266,0.643086530103972,12.462917011304109,0.058224082286996694,0.47503641238973354
medrag_rdc,0.1,0.95,4836,0.6303418803418803,0.6166384669730314,0.6438383772829184,12.949269368624208,0.052648198114878676,0.4717427906593366
