strategy,noise_rate,posterior_threshold,cases,accuracy,accuracy_ci_low,accuracy_ci_high,average_questions,questions_standard_error,brier_score
pamis_style_s25,0.0,0.85,49,0.9183673469387755,0.8081061295851387,0.9677977037582878,6.0,0.587953481260732,0.12088850107592558
pamis_style_s25,0.1,0.85,49,0.8979591836734694,0.7824337583502992,0.9556211075129601,6.122448979591836,0.5982291325332062,0.18314950407829989
pamis_style_s25,0.2,0.85,49,0.7346938775510204,0.5973744384734165,0.8378886875485057,7.3061224489795915,0.707668521899089,0.4189887989354483
pamis_style_s25,0.3,0.85,49,0.7755102040816326,0.6412094381295426,0.8697516228527138,7.244897959183674,0.7096236264148029,0.40918348630469925
pamis_style_s30,0.0,0.85,49,0.9183673469387755,0.8081061295851387,0.9677977037582878,5.877551020408164,0.5798451968952886,0.12088850107592558
pamis_style_s30,0.1,0.85,49,0.8979591836734694,0.7824337583502992,0.9556211075129601,5.959183673469388,0.586506030809702,0.1836354355086012
pamis_style_s30,0.2,0.85,49,0.7346938775510204,0.5973744384734165,0.8378886875485057,7.183673469387755,0.7061775779988115,0.41579085613162414
pamis_style_s30,0.3,0.85,49,0.7755102040816326,0.6412094381295426,0.8697516228527138,7.1020408163265305,0.7065145177661936,0.4218800282907004
pamis_style_s35,0.0,0.85,49,0.9183673469387755,0.8081061295851387,0.9677977037582878,5.836734693877551,0.5796399367620138,0.12088850107592558
pamis_style_s35,0.1,0.85,49,0.8979591836734694,0.7824337583502992,0.9556211075129601,5.959183673469388,0.586506030809702,0.1836354355086012
pamis_style_s35,0.2,0.85,49,0.7551020408163265,0.619134127396842,0.8539779661052471,7.081632653061225,0.7050934667920636,0.37845725370806815
pamis_style_s35,0.3,0.85,49,0.7551020408163265,0.619134127396842,0.8539779661052471,6.8979591836734695,0.6855714731987904,0.4463787299634207
pamis_style_s40,0.0,0.85,49,0.9183673469387755,0.8081061295851387,0.9677977037582878,5.816326530612245,0.5798745138403181,0.12088850107592558
pamis_style_s40,0.1,0.85,49,0.8979591836734694,0.7824337583502992,0.9556211075129601,5.938775510204081,0.5868247762366999,0.1836354355086012
pamis_style_s40,0.2,0.85,49,0.7551020408163265,0.619134127396842,0.8539779661052471,7.061224489795919,0.7060210870184455,0.37845725370806815
pamis_style_s40,0.3,0.85,49,0.7551020408163265,0.619134127396842,0.8539779661052471,6.816326530612245,0.6827886259267381,0.4465438182718581
