strategy,noise_rate,posterior_threshold,cases,average_primary_questions,average_clarifications,clarification_rate,harmful_reports,detection_precision,detection_recall,mitigation_rate,discarded_correct_reports_per_case
pamis_style_s25,0.0,0.85,49,5.816326530612245,0.1836734693877551,0.031578947368421054,0,0.0,,,0.0
pamis_style_s25,0.1,0.85,49,5.979591836734694,0.14285714285714285,0.023890784982935155,8,0.14285714285714285,0.125,1.0,0.0
pamis_style_s25,0.2,0.85,49,7.1020408163265305,0.20408163265306123,0.028735632183908046,18,0.1,0.05555555555555555,1.0,0.04081632653061224
pamis_style_s25,0.3,0.85,49,7.061224489795919,0.1836734693877551,0.02601156069364162,25,0.1111111111111111,0.04,1.0,0.061224489795918366
pamis_style_s30,0.0,0.85,49,5.816326530612245,0.061224489795918366,0.010526315789473684,0,0.0,,,0.0
pamis_style_s30,0.1,0.85,49,5.938775510204081,0.02040816326530612,0.003436426116838488,8,0.0,0.0,,0.0
pamis_style_s30,0.2,0.85,49,7.122448979591836,0.061224489795918366,0.008595988538681949,19,0.0,0.0,,0.02040816326530612
pamis_style_s30,0.3,0.85,49,7.020408163265306,0.08163265306122448,0.011627906976744186,26,0.25,0.038461538461538464,1.0,0.02040816326530612
pamis_style_s35,0.0,0.85,49,5.816326530612245,0.02040816326530612,0.0035087719298245615,0,0.0,,,0.0
pamis_style_s35,0.1,0.85,49,5.938775510204081,0.02040816326530612,0.003436426116838488,8,0.0,0.0,,0.0
pamis_style_s35,0.2,0.85,49,7.040816326530612,0.04081632653061224,0.005797101449275362,19,0.0,0.0,,0.0
pamis_style_s35,0.3,0.85,49,6.857142857142857,0.04081632653061224,0.005952380952380952,26,0.0,0.0,,0.02040816326530612
pamis_style_s40,0.0,0.85,49,5.816326530612245,0.0,0.0,0,,,,0.0
pamis_style_s40,0.1,0.85,49,5.938775510204081,0.0,0.0,8,,0.0,,0.0
pamis_style_s40,0.2,0.85,49,7.040816326530612,0.02040816326530612,0.002898550724637681,19,0.0,0.0,,0.0
pamis_style_s40,0.3,0.85,49,6.795918367346939,0.02040816326530612,0.003003003003003003,26,0.0,0.0,,0.0
