strategy,noise_rate,posterior_threshold,cases,average_primary_questions,average_clarifications,clarification_rate,harmful_reports,detection_precision,detection_recall,mitigation_rate,discarded_correct_reports_per_case
hybrid_s30_u025_b1,0.0,0.85,49,5.8979591836734695,0.5714285714285714,0.09688581314878893,0,0.0,,,0.0
hybrid_s30_u025_b1,0.1,0.85,49,6.285714285714286,0.6122448979591837,0.09740259740259741,9,0.16666666666666666,0.5555555555555556,1.0,0.08163265306122448
hybrid_s30_u025_b1,0.2,0.85,49,7.795918367346939,0.673469387755102,0.08638743455497382,20,0.24242424242424243,0.4,1.0,0.061224489795918366
hybrid_s30_u025_b1,0.3,0.85,49,7.612244897959184,0.7551020408163265,0.09919571045576407,25,0.1891891891891892,0.28,1.0,0.1836734693877551
hybrid_s30_u025_b2,0.0,0.85,49,5.857142857142857,0.673469387755102,0.11498257839721254,0,0.0,,,0.0
hybrid_s30_u025_b2,0.1,0.85,49,6.244897959183674,0.7959183673469388,0.12745098039215685,9,0.1282051282051282,0.5555555555555556,1.0,0.08163265306122448
hybrid_s30_u025_b2,0.2,0.85,49,7.795918367346939,0.9183673469387755,0.11780104712041885,19,0.26666666666666666,0.631578947368421,0.9166666666666666,0.061224489795918366
hybrid_s30_u025_b2,0.3,0.85,49,7.6938775510204085,1.163265306122449,0.15119363395225463,27,0.24561403508771928,0.5185185185185185,1.0,0.24489795918367346
pamis_style_s30,0.0,0.85,49,5.816326530612245,0.061224489795918366,0.010526315789473684,0,0.0,,,0.0
pamis_style_s30,0.1,0.85,49,5.938775510204081,0.02040816326530612,0.003436426116838488,8,0.0,0.0,,0.0
pamis_style_s30,0.2,0.85,49,7.122448979591836,0.061224489795918366,0.008595988538681949,19,0.0,0.0,,0.02040816326530612
pamis_style_s30,0.3,0.85,49,7.020408163265306,0.08163265306122448,0.011627906976744186,26,0.25,0.038461538461538464,1.0,0.02040816326530612
retro_risk_r50_b1,0.0,0.85,49,5.816326530612245,0.02040816326530612,0.0035087719298245615,0,0.0,,,0.0
retro_risk_r50_b1,0.1,0.85,49,5.918367346938775,0.04081632653061224,0.006896551724137931,8,0.5,0.125,1.0,0.0
retro_risk_r50_b1,0.2,0.85,49,6.979591836734694,0.10204081632653061,0.014619883040935672,19,0.4,0.10526315789473684,1.0,0.0
retro_risk_r50_b1,0.3,0.85,49,6.673469387755102,0.14285714285714285,0.021406727828746176,24,0.5714285714285714,0.16666666666666666,1.0,0.02040816326530612
retro_utility_u010_b1,0.0,0.85,49,5.8979591836734695,0.7959183673469388,0.13494809688581316,0,0.0,,,0.0
retro_utility_u010_b1,0.1,0.85,49,6.326530612244898,0.7755102040816326,0.12258064516129032,9,0.13157894736842105,0.5555555555555556,1.0,0.10204081632653061
retro_utility_u010_b1,0.2,0.85,49,7.877551020408164,0.8163265306122449,0.10362694300518134,20,0.225,0.45,1.0,0.08163265306122448
retro_utility_u010_b1,0.3,0.85,49,7.653061224489796,0.9183673469387755,0.12,26,0.2,0.34615384615384615,1.0,0.22448979591836735
retro_utility_u025_b1,0.0,0.85,49,5.8979591836734695,0.5102040816326531,0.08650519031141868,0,0.0,,,0.0
retro_utility_u025_b1,0.1,0.85,49,6.285714285714286,0.5918367346938775,0.09415584415584416,9,0.1724137931034483,0.5555555555555556,1.0,0.08163265306122448
retro_utility_u025_b1,0.2,0.85,49,7.653061224489796,0.6122448979591837,0.08,20,0.26666666666666666,0.4,1.0,0.04081632653061224
retro_utility_u025_b1,0.3,0.85,49,7.571428571428571,0.673469387755102,0.0889487870619946,25,0.21212121212121213,0.28,1.0,0.16326530612244897
retro_utility_u025_b2,0.0,0.85,49,5.857142857142857,0.6530612244897959,0.11149825783972125,0,0.0,,,0.0
retro_utility_u025_b2,0.1,0.85,49,6.244897959183674,0.7959183673469388,0.12745098039215685,9,0.1282051282051282,0.5555555555555556,1.0,0.08163265306122448
retro_utility_u025_b2,0.2,0.85,49,7.653061224489796,0.8775510204081632,0.11466666666666667,19,0.27906976744186046,0.631578947368421,0.9166666666666666,0.04081632653061224
retro_utility_u025_b2,0.3,0.85,49,7.673469387755102,1.0612244897959184,0.13829787234042554,27,0.23076923076923078,0.4444444444444444,1.0,0.22448979591836735
retro_utility_u050_b1,0.0,0.85,49,5.8979591836734695,0.3673469387755102,0.06228373702422145,0,0.0,,,0.0
retro_utility_u050_b1,0.1,0.85,49,6.142857142857143,0.3673469387755102,0.059800664451827246,9,0.2222222222222222,0.4444444444444444,1.0,0.04081632653061224
retro_utility_u050_b1,0.2,0.85,49,7.3061224489795915,0.4489795918367347,0.061452513966480445,20,0.3181818181818182,0.35,1.0,0.04081632653061224
retro_utility_u050_b1,0.3,0.85,49,7.122448979591836,0.46938775510204084,0.0659025787965616,24,0.21739130434782608,0.20833333333333334,1.0,0.14285714285714285
