strategy,noise_rate,posterior_threshold,cases,accuracy,accuracy_ci_low,accuracy_ci_high,average_questions,questions_standard_error,brier_score
hybrid_s30_u025_b1,0.0,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,6.469387755102041,0.6027163562525903,0.08713013791030619
hybrid_s30_u025_b1,0.1,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,6.8979591836734695,0.61377013956575,0.10779649266926321
hybrid_s30_u025_b1,0.2,0.85,49,0.8571428571428571,0.7333202681083708,0.9290366627945541,8.46938775510204,0.6945387250998529,0.22588732833049355
hybrid_s30_u025_b1,0.3,0.85,49,0.7346938775510204,0.5973744384734165,0.8378886875485057,8.36734693877551,0.6754416868580931,0.4003024129897812
hybrid_s30_u025_b2,0.0,0.85,49,0.9591836734693877,0.8628671652316889,0.9887346030720717,6.530612244897959,0.6109524049900458,0.0802388111533324
hybrid_s30_u025_b2,0.1,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,7.040816326530612,0.6236750612180971,0.11376599523888334
hybrid_s30_u025_b2,0.2,0.85,49,0.8979591836734694,0.7824337583502992,0.9556211075129601,8.714285714285714,0.6860300536314944,0.18259862201246208
hybrid_s30_u025_b2,0.3,0.85,49,0.7551020408163265,0.619134127396842,0.8539779661052471,8.857142857142858,0.6944775317213695,0.3293144488663331
pamis_style_s30,0.0,0.85,49,0.9183673469387755,0.8081061295851387,0.9677977037582878,5.877551020408164,0.5798451968952886,0.12088850107592558
pamis_style_s30,0.1,0.85,49,0.8979591836734694,0.7824337583502992,0.9556211075129601,5.959183673469388,0.586506030809702,0.1836354355086012
pamis_style_s30,0.2,0.85,49,0.7346938775510204,0.5973744384734165,0.8378886875485057,7.183673469387755,0.7061775779988115,0.41579085613162414
pamis_style_s30,0.3,0.85,49,0.7755102040816326,0.6412094381295426,0.8697516228527138,7.1020408163265305,0.7065145177661936,0.4218800282907004
retro_risk_r50_b1,0.0,0.85,49,0.9183673469387755,0.8081061295851387,0.9677977037582878,5.836734693877551,0.5853600142948657,0.12245232813473514
retro_risk_r50_b1,0.1,0.85,49,0.8979591836734694,0.7824337583502992,0.9556211075129601,5.959183673469388,0.5857954744792967,0.18604672339843398
retro_risk_r50_b1,0.2,0.85,49,0.7551020408163265,0.619134127396842,0.8539779661052471,7.081632653061225,0.7050934667920636,0.3734089380950852
retro_risk_r50_b1,0.3,0.85,49,0.7346938775510204,0.5973744384734165,0.8378886875485057,6.816326530612245,0.68461614534139,0.43305636091902183
retro_utility_u010_b1,0.0,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,6.6938775510204085,0.5965359405688659,0.08869396496911575
retro_utility_u010_b1,0.1,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,7.1020408163265305,0.6028150662773218,0.10778866239845748
retro_utility_u010_b1,0.2,0.85,49,0.8571428571428571,0.7333202681083708,0.9290366627945541,8.693877551020408,0.6940000381881297,0.22299552745175338
retro_utility_u010_b1,0.3,0.85,49,0.7551020408163265,0.619134127396842,0.8539779661052471,8.571428571428571,0.6466522252144841,0.3660796674240618
retro_utility_u025_b1,0.0,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,6.408163265306122,0.601897850439035,0.08713013791030619
retro_utility_u025_b1,0.1,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,6.877551020408164,0.6140332066697601,0.10779649266926321
retro_utility_u025_b1,0.2,0.85,49,0.8571428571428571,0.7333202681083708,0.9290366627945541,8.26530612244898,0.6889231951746971,0.22595493962123447
retro_utility_u025_b1,0.3,0.85,49,0.7346938775510204,0.5973744384734165,0.8378886875485057,8.244897959183673,0.671630521235678,0.40328809817608774
retro_utility_u025_b2,0.0,0.85,49,0.9591836734693877,0.8628671652316889,0.9887346030720717,6.510204081632653,0.6116476331502904,0.0802388111533324
retro_utility_u025_b2,0.1,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,7.040816326530612,0.6236750612180971,0.11376599523888334
retro_utility_u025_b2,0.2,0.85,49,0.8979591836734694,0.7824337583502992,0.9556211075129601,8.53061224489796,0.6806066094166389,0.18266623330320297
retro_utility_u025_b2,0.3,0.85,49,0.7551020408163265,0.619134127396842,0.8539779661052471,8.73469387755102,0.6883183729888279,0.33270146403691103
retro_utility_u050_b1,0.0,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,6.26530612244898,0.6052494986410418,0.08713013791030619
retro_utility_u050_b1,0.1,0.85,49,0.9387755102040817,0.8347925657791229,0.9789602350444708,6.510204081632653,0.6244514120387279,0.10790003723637293
retro_utility_u050_b1,0.2,0.85,49,0.8367346938775511,0.7096339333048477,0.9148740301179102,7.755102040816326,0.6989792118246534,0.27095342414172563
retro_utility_u050_b1,0.3,0.85,49,0.7142857142857143,0.5759085079389967,0.8215056506027583,7.591836734693878,0.7168573923071485,0.44699337318743415
