strategy,noise_rate,cases,top1_accuracy,top3_accuracy,average_new_questions,average_verification_questions,average_total_atomic_questions,average_interaction_turns,brier_score,expected_calibration_error,unnecessary_verification_rate,conflict_resolution_rate,premature_stop_rate,uncertain_output_rate
adaptive_history,0.0,900,0.8077777777777778,1.0,3.7655555555555558,0.0,3.7655555555555558,3.7655555555555558,0.276374876201765,0.023013700765244095,,,0.0811111111111111,0.0
adaptive_history,0.1,900,0.7611111111111111,1.0,4.07,0.0,4.07,4.07,0.3369151540149654,0.03182377096433368,,,0.08888888888888889,0.0
adaptive_history,0.2,900,0.7266666666666667,1.0,4.283333333333333,0.0,4.283333333333333,4.283333333333333,0.3819342079452345,0.045738689497993444,,,0.08666666666666667,0.0
adaptive_history,0.3,900,0.6933333333333334,1.0,4.513333333333334,0.0,4.513333333333334,4.513333333333334,0.4162707322016825,0.055257446091226035,,,0.08,0.0
full_two_layer,0.0,900,0.81,1.0,4.273333333333333,0.0,4.273333333333333,4.273333333333333,0.2672137203343548,0.03673814613527622,,,0.052222222222222225,0.0
full_two_layer,0.1,900,0.7688888888888888,1.0,4.498888888888889,0.0,4.498888888888889,4.498888888888889,0.3220401718120226,0.040772626852897495,,,0.057777777777777775,0.0
full_two_layer,0.2,900,0.7377777777777778,1.0,4.592222222222222,0.0,4.592222222222222,4.592222222222222,0.3773902076667354,0.051759344689745135,,,0.07555555555555556,0.0
full_two_layer,0.3,900,0.6944444444444444,1.0,4.783333333333333,0.0,4.783333333333333,4.783333333333333,0.4147348748462685,0.053987185422058846,,,0.06555555555555556,0.0
joint_new_verify_stop,0.0,900,0.8166666666666667,1.0,4.127777777777778,0.21222222222222223,4.34,4.34,0.2589012219158453,0.030767508537010758,0.9738219895287958,0.02617801047120419,0.052222222222222225,0.3844444444444444
joint_new_verify_stop,0.1,900,0.7777777777777778,1.0,4.357777777777778,0.33666666666666667,4.694444444444445,4.694444444444445,0.32016162984065716,0.0398793228819925,0.8910891089108911,0.10561056105610561,0.06222222222222222,0.4722222222222222
joint_new_verify_stop,0.2,900,0.7422222222222222,1.0,4.476666666666667,0.43777777777777777,4.914444444444444,4.914444444444444,0.36423733083380183,0.03549661320854347,0.8299492385786802,0.1548223350253807,0.07111111111111111,0.5044444444444445
joint_new_verify_stop,0.3,900,0.7022222222222222,1.0,4.68,0.52,5.2,5.2,0.4052231903126877,0.046737059781930504,0.8034188034188035,0.18376068376068377,0.06777777777777778,0.5744444444444444
ordinary_eig_reliable,0.0,900,0.8033333333333333,1.0,3.723333333333333,0.0,3.723333333333333,3.723333333333333,0.27882957536741393,0.03648765081508442,,,0.08555555555555555,0.0
ordinary_eig_reliable,0.1,900,0.7611111111111111,1.0,4.018888888888889,0.0,4.018888888888889,4.018888888888889,0.3366677564668577,0.05697471988250264,,,0.08888888888888889,0.0
ordinary_eig_reliable,0.2,900,0.7333333333333333,1.0,4.191111111111111,0.0,4.191111111111111,4.191111111111111,0.38340496455727036,0.06065069863515507,,,0.1,0.0
ordinary_eig_reliable,0.3,900,0.6977777777777778,1.0,4.4222222222222225,0.0,4.4222222222222225,4.4222222222222225,0.42036608830965166,0.07231496821471693,,,0.09,0.0
random_reliable,0.0,900,0.8022222222222222,1.0,4.561111111111111,0.0,4.561111111111111,4.561111111111111,0.2821125742651313,0.017955991876262324,,,0.09,0.0
random_reliable,0.1,900,0.7644444444444445,1.0,4.796666666666667,0.0,4.796666666666667,4.796666666666667,0.33158116009520844,0.04990160824415507,,,0.08,0.0
random_reliable,0.2,900,0.7288888888888889,1.0,4.957777777777777,0.0,4.957777777777777,4.957777777777777,0.3952699827618379,0.05752023858160566,,,0.10666666666666667,0.0
random_reliable,0.3,900,0.6855555555555556,1.0,5.022222222222222,0.0,5.022222222222222,5.022222222222222,0.440173414853121,0.08347555414032712,,,0.10111111111111111,0.0
