signal,config,label,subset,n,cases,prevalence,AUROC,AUROC_ci,AUPRC,AUPRC_ci,Brier,Brier_ci,ECE,ECE_ci,adaptive_ECE,adaptive_ECE_ci,calibration_slope,calibration_intercept
p_wrong,legacy,wrong_report,binary_first,7884,237,0.095890,0.873899,"(0.8565199498617515, 0.8902824496224534)",0.498325,"(0.4598758158151865, 0.5384124961665738)",0.067328,"(0.06236934884734951, 0.07292103375552618)",0.039478,"(0.034191305272297155, 0.04657095008148879)",0.037326,"(0.03199544002330907, 0.04355249951342838)",0.266503,0.812627
p_wrong,oracle,wrong_report,binary_first,7884,237,0.095890,0.862982,"(0.8442637105735343, 0.8803869477543488)",0.438849,"(0.3985048111950859, 0.48266064180750523)",0.067309,"(0.06232394073528682, 0.07231404318365071)",0.014380,"(0.009613972276178221, 0.022651301016072385)",0.014563,"(0.010113067547561439, 0.022505603433681732)",-0.169602,0.871179
p_wrong,train_fixed,wrong_report,binary_first,7884,237,0.095890,0.857318,"(0.8367623008425211, 0.8754365446909387)",0.425735,"(0.384145406920571, 0.4666981214045362)",0.068316,"(0.06323328127906613, 0.0733143625933055)",0.016346,"(0.010930887075257587, 0.025696793890462626)",0.016073,"(0.010891896468760277, 0.026067226925822876)",-0.227190,0.867461
p_wrong,cue_conditioned,wrong_report,binary_first,7884,237,0.095890,0.861079,"(0.8425603351247948, 0.8786093847480277)",0.437756,"(0.3964745473606632, 0.48086868027212964)",0.067344,"(0.06253925361825555, 0.072438426202874)",0.011879,"(0.008241790375123768, 0.02037874366119994)",0.014938,"(0.00848738107194908, 0.021872176078098517)",-0.151822,0.879642
p_mode,legacy,latent_misreport,all_first,13171,245,0.077747,0.819909,"(0.8046002477837152, 0.8354798765685658)",0.395803,"(0.3642667994692953, 0.42951922102194806)",0.062614,"(0.058660300469670704, 0.06639301107193281)",0.043258,"(0.03884519075370597, 0.04748740739844145)",0.043195,"(0.03875439685593716, 0.04740000538371505)",0.320505,0.796413
p_mode,oracle,latent_misreport,all_first,13171,245,0.077747,0.814728,"(0.7986295779943613, 0.8302556570093886)",0.381828,"(0.3507694462479407, 0.4126448282681834)",0.058690,"(0.055289137155989626, 0.06248091904638213)",0.013016,"(0.010335025664259681, 0.0186431758408493)",0.012212,"(0.009553073345337355, 0.018147195503663942)",-0.111068,0.830872
p_mode,train_fixed,latent_misreport,all_first,13171,245,0.077747,0.818393,"(0.8022637499036752, 0.8327050292049043)",0.343788,"(0.3193253713859451, 0.37510191379202845)",0.060374,"(0.0570067095320089, 0.06376713977909731)",0.007900,"(0.004853161660401285, 0.012873629444277633)",0.007214,"(0.005334770297546676, 0.012771095200875536)",-0.055135,0.953348
p_mode,cue_conditioned,latent_misreport,all_first,13171,245,0.077747,0.811935,"(0.7955811849548224, 0.8287886896810429)",0.376136,"(0.34422063584627466, 0.4083009625363309)",0.058851,"(0.05536195025656613, 0.06233291693523392)",0.012729,"(0.010136112335905093, 0.01804916705461558)",0.012939,"(0.010021100501540309, 0.018660446019001378)",-0.101355,0.834844
p_wrong,legacy,wrong_report,all_first_incl_unknown,13171,245,0.084580,0.762274,"(0.749122704205047, 0.7735043693476397)",0.157797,"(0.14774867408199313, 0.16639261796100177)",0.178543,"(0.17239229446852258, 0.18460760170632914)",0.155523,"(0.14913512628958803, 0.16221255746574914)",0.131925,"(0.1244512633783632, 0.1395312624759576)",-2.264702,0.020688
p_wrong,oracle,wrong_report,all_first_incl_unknown,13171,245,0.084580,0.756116,"(0.7430815657041986, 0.7676807927721994)",0.154086,"(0.14433148411306115, 0.16321876812036856)",0.177605,"(0.17200119831433808, 0.18310701242266603)",0.130395,"(0.12536498537452245, 0.13771409350214692)",0.129391,"(0.12405616906410591, 0.13686312985350618)",-2.285950,0.017177
