stratum,config,signal,n,prevalence,Brier,ECE,adaptive_ECE,note
noise=0.2,legacy,p_wrong,3943,0.078113,0.055930,0.027157,0.024268,
noise=0.3,legacy,p_wrong,3941,0.113677,0.078731,0.052920,0.050391,
certainty=certain,legacy,p_wrong,7277,0.090697,0.065042,0.041538,0.039871,
certainty=uncertain,legacy,p_wrong,607,0.158155,0.094725,0.026375,0.024820,
verified=before_verify,legacy,p_wrong,7503,0.075436,0.055156,0.029008,0.027012,
verified=after_verify,legacy,p_wrong,762,0.498688,0.208329,0.167928,0.163456,
timepoint=first,legacy,p_wrong,7884,0.095890,0.067328,0.039478,0.037326,
timepoint=reask,legacy,p_wrong,381,0.498688,0.109630,0.087152,0.086675,
value=present,legacy,p_wrong,2183,0.269354,0.172258,0.106552,0.098709,
value=absent,legacy,p_wrong,5701,0.029469,0.027148,0.014206,0.013949,
noise=0.2,oracle,p_wrong,3943,0.078113,0.056208,0.009148,0.010143,
noise=0.3,oracle,p_wrong,3941,0.113677,0.078416,0.021001,0.018739,
certainty=certain,oracle,p_wrong,7277,0.090697,0.064396,0.013733,0.014711,
certainty=uncertain,oracle,p_wrong,607,0.158155,0.102228,0.033421,0.030240,
verified=before_verify,oracle,p_wrong,7503,0.075436,0.057065,0.017070,0.016222,
verified=after_verify,oracle,p_wrong,762,0.498688,0.201750,0.040868,0.039826,
timepoint=first,oracle,p_wrong,7884,0.095890,0.067309,0.014380,0.014563,
timepoint=reask,oracle,p_wrong,381,0.498688,0.134460,0.122512,0.114539,
value=present,oracle,p_wrong,2183,0.269354,0.172408,0.037534,0.041883,
value=absent,oracle,p_wrong,5701,0.029469,0.027065,0.006047,0.007363,
noise=0.2,train_fixed,p_wrong,3943,0.078113,0.059768,0.020800,0.023236,
noise=0.3,train_fixed,p_wrong,3941,0.113677,0.076870,0.019522,0.019354,
certainty=certain,train_fixed,p_wrong,7277,0.090697,0.065397,0.016373,0.018231,
certainty=uncertain,train_fixed,p_wrong,607,0.158155,0.103318,0.051080,0.055517,
verified=before_verify,train_fixed,p_wrong,7503,0.075436,0.057987,0.019147,0.019558,
verified=after_verify,train_fixed,p_wrong,762,0.498688,0.193035,0.075768,0.091491,
timepoint=first,train_fixed,p_wrong,7884,0.095890,0.068316,0.016346,0.016073,
timepoint=reask,train_fixed,p_wrong,381,0.498688,0.114333,0.052679,0.080252,
value=present,train_fixed,p_wrong,2183,0.269354,0.175647,0.044743,0.045909,
value=absent,train_fixed,p_wrong,5701,0.029469,0.027218,0.006119,0.005064,
noise=0.2,cue_conditioned,p_wrong,3943,0.078113,0.058341,0.014884,0.017701,
noise=0.3,cue_conditioned,p_wrong,3941,0.113677,0.076351,0.017371,0.017696,
certainty=certain,cue_conditioned,p_wrong,7277,0.090697,0.064500,0.010853,0.013357,
certainty=uncertain,cue_conditioned,p_wrong,607,0.158155,0.101437,0.026163,0.032972,
verified=before_verify,cue_conditioned,p_wrong,7503,0.075436,0.057141,0.015172,0.016263,
verified=after_verify,cue_conditioned,p_wrong,762,0.498688,0.200928,0.056567,0.080188,
timepoint=first,cue_conditioned,p_wrong,7884,0.095890,0.067344,0.011879,0.014938,
timepoint=reask,cue_conditioned,p_wrong,381,0.498688,0.133584,0.126145,0.120131,
value=present,cue_conditioned,p_wrong,2183,0.269354,0.172485,0.030593,0.034942,
value=absent,cue_conditioned,p_wrong,5701,0.029469,0.027084,0.005906,0.005936,
value=unknown,legacy,p_wrong,1587,0.000000,1.000000,1.000000,1.000000,p_wrong=1.0 conflation (label=0)
value=categorical,legacy,p_wrong,3700,0.096757,0.063184,0.042534,0.043793,
value=unknown,oracle,p_wrong,1587,0.000000,1.000000,1.000000,1.000000,p_wrong=1.0 conflation (label=0)
value=categorical,oracle,p_wrong,3700,0.096757,0.059882,0.014606,0.017377,
value=unknown,train_fixed,p_wrong,1587,0.000000,1.000000,1.000000,1.000000,p_wrong=1.0 conflation (label=0)
value=categorical,train_fixed,p_wrong,3700,0.096757,0.060349,0.011650,0.017471,
value=unknown,cue_conditioned,p_wrong,1587,0.000000,1.000000,1.000000,1.000000,p_wrong=1.0 conflation (label=0)
value=categorical,cue_conditioned,p_wrong,3700,0.096757,0.059903,0.015862,0.020911,
noise=0.2,legacy,p_mode,6497,0.064645,0.052897,0.031958,0.031994,
noise=0.3,legacy,p_mode,6674,0.090500,0.072074,0.054321,0.054329,
noise=0.2,oracle,p_mode,6497,0.064645,0.050975,0.013322,0.011741,
noise=0.3,oracle,p_mode,6674,0.090500,0.066201,0.016114,0.017623,
noise=0.2,train_fixed,p_mode,6497,0.064645,0.052802,0.011704,0.010870,
noise=0.3,train_fixed,p_mode,6674,0.090500,0.067745,0.014540,0.011709,
noise=0.2,cue_conditioned,p_mode,6497,0.064645,0.051839,0.010288,0.016079,
noise=0.3,cue_conditioned,p_mode,6674,0.090500,0.065676,0.021875,0.021364,
seed=2026,legacy,p_wrong,2691,0.094017,0.062890,0.038233,0.035036,
seed=2027,legacy,p_wrong,2616,0.088685,0.064917,0.036060,0.031614,
seed=2026,oracle,p_wrong,2691,0.094017,0.063855,0.010067,0.017144,
seed=2027,oracle,p_wrong,2616,0.088685,0.065568,0.018685,0.023256,
