comparison,metric,a_value,b_value,delta,delta_ci_low,delta_ci_high
P-V-P-H,top1_acc,0.768707,0.778231,0.009524,0.003401,0.015646
P-V-P-H,diagnostic_brier,0.304215,0.277110,-0.027105,-0.037713,-0.017424
P-V-P-H,total_atomic_questions,8.880952,14.010204,5.129252,4.627109,5.583010
P-V-P-H,premature_stop_rate,0.040816,0.002041,-0.038776,-0.050340,-0.028571
P-V-P-H,early_stop_rate,0.717007,0.102721,-0.614286,-0.656463,-0.572755
P-V-P-H,new_questions,8.359184,13.442857,5.083673,4.648265,5.549048
P-V-P-H,top1_wrong_to_correct,,,16,,
P-V-P-H,top1_correct_to_wrong,,,2,,
P-V-P-H,top1_net_improvement,,,14,6.000000,23.000000
P-V-L-H,top1_acc,0.768707,0.780952,0.012245,-0.009541,0.036071
P-V-L-H,diagnostic_brier,0.304215,0.291447,-0.012767,-0.038076,0.012423
P-V-L-H,total_atomic_questions,8.880952,9.452381,0.571429,0.284354,0.846956
P-V-L-H,premature_stop_rate,0.040816,0.037415,-0.003401,-0.015646,0.008844
P-V-L-H,early_stop_rate,0.717007,0.540136,-0.176871,-0.210901,-0.143537
P-V-L-H,new_questions,8.359184,8.959864,0.600680,0.299303,0.877585
P-V-L-H,top1_wrong_to_correct,,,103,,
P-V-L-H,top1_correct_to_wrong,,,85,,
P-V-L-H,top1_net_improvement,,,18,-13.000000,52.000000
P-V-L-V,top1_acc,0.768707,0.770748,0.002041,-0.019728,0.022449
P-V-L-V,diagnostic_brier,0.304215,0.317928,0.013713,-0.013312,0.039955
P-V-L-V,total_atomic_questions,8.880952,7.778912,-1.102041,-1.349694,-0.872092
P-V-L-V,premature_stop_rate,0.040816,0.074830,0.034014,0.021769,0.046259
P-V-L-V,early_stop_rate,0.717007,0.780272,0.063265,0.038095,0.086395
P-V-L-V,new_questions,8.359184,7.302721,-1.056463,-1.310884,-0.840816
P-V-L-V,top1_wrong_to_correct,,,94,,
P-V-L-V,top1_correct_to_wrong,,,91,,
P-V-L-V,top1_net_improvement,,,3,-28.000000,37.025000
L-V-L-H,top1_acc,0.770748,0.780952,0.010204,0.004082,0.017007
L-V-L-H,diagnostic_brier,0.317928,0.291447,-0.026481,-0.038445,-0.015650
L-V-L-H,total_atomic_questions,7.778912,9.452381,1.673469,1.465289,1.886412
L-V-L-H,premature_stop_rate,0.074830,0.037415,-0.037415,-0.047636,-0.028571
L-V-L-H,early_stop_rate,0.780272,0.540136,-0.240136,-0.268027,-0.214966
L-V-L-H,new_questions,7.302721,8.959864,1.657143,1.453690,1.861241
L-V-L-H,top1_wrong_to_correct,,,19,,
L-V-L-H,top1_correct_to_wrong,,,4,,
L-V-L-H,top1_net_improvement,,,15,6.000000,25.000000
