comparison,metric,L-H,P-H,L-V,P-V,delta,delta_pct
P-V-P-H,top1_acc,,0.778231,,0.768707,0.009524,1.238900
P-V-P-H,top3_acc,,0.840816,,0.834694,0.006122,0.733500
P-V-P-H,diagnostic_brier,,0.277110,,0.304215,-0.027105,-8.909800
P-V-P-H,nll,,0.823723,,0.922135,-0.098411,-10.672100
P-V-P-H,new_questions,,13.442857,,8.359184,5.083673,60.815400
P-V-P-H,verification_questions,,0.567347,,0.521769,0.045578,8.735300
P-V-P-H,total_atomic_questions,,14.010204,,8.880952,5.129252,57.755600
P-V-P-H,extra_questions_after_threshold,,5.069388,,0.331973,4.737415,1427.049200
P-V-P-H,early_stop_rate,,0.102721,,0.717007,-0.614286,-85.673600
P-V-P-H,premature_stop_rate,,0.002041,,0.040816,-0.038776,-95.000000
P-V-L-H,top1_acc,0.780952,,,0.768707,0.012245,1.592900
P-V-L-H,top3_acc,0.859184,,,0.834694,0.024490,2.934000
P-V-L-H,diagnostic_brier,0.291447,,,0.304215,-0.012767,-4.196800
P-V-L-H,nll,0.876289,,,0.922135,-0.045846,-4.971700
P-V-L-H,new_questions,8.959864,,,8.359184,0.600680,7.185900
P-V-L-H,verification_questions,0.492517,,,0.521769,-0.029252,-5.606300
P-V-L-H,total_atomic_questions,9.452381,,,8.880952,0.571429,6.434300
P-V-L-H,extra_questions_after_threshold,2.423129,,,0.331973,2.091156,629.918000
P-V-L-H,early_stop_rate,0.540136,,,0.717007,-0.176871,-24.667900
P-V-L-H,premature_stop_rate,0.037415,,,0.040816,-0.003401,-8.333300
P-V-L-V,top1_acc,,,0.770748,0.768707,0.002041,0.265500
P-V-L-V,top3_acc,,,0.848980,0.834694,0.014286,1.711500
P-V-L-V,diagnostic_brier,,,0.317928,0.304215,0.013713,4.507800
P-V-L-V,nll,,,0.954841,0.922135,0.032707,3.546800
P-V-L-V,new_questions,,,7.302721,8.359184,-1.056463,-12.638300
P-V-L-V,verification_questions,,,0.476190,0.521769,-0.045578,-8.735300
P-V-L-V,total_atomic_questions,,,7.778912,8.880952,-1.102041,-12.409000
P-V-L-V,extra_questions_after_threshold,,,0.867347,0.331973,0.535374,161.270500
P-V-L-V,early_stop_rate,,,0.780272,0.717007,0.063265,8.823500
P-V-L-V,premature_stop_rate,,,0.074830,0.040816,0.034014,83.333300
L-V-L-H,top1_acc,0.780952,,0.770748,,0.010204,1.323900
L-V-L-H,top3_acc,0.859184,,0.848980,,0.010204,1.201900
L-V-L-H,diagnostic_brier,0.291447,,0.317928,,-0.026481,-8.329200
L-V-L-H,nll,0.876289,,0.954841,,-0.078553,-8.226800
L-V-L-H,new_questions,8.959864,,7.302721,,1.657143,22.692100
L-V-L-H,verification_questions,0.492517,,0.476190,,0.016327,3.428600
L-V-L-H,total_atomic_questions,9.452381,,7.778912,,1.673469,21.512900
L-V-L-H,extra_questions_after_threshold,2.423129,,0.867347,,1.555782,179.372500
L-V-L-H,early_stop_rate,0.540136,,0.780272,,-0.240136,-30.775900
L-V-L-H,premature_stop_rate,0.037415,,0.074830,,-0.037415,-50.000000
