strategy,noise_rate,n_dialogues,top1_acc,top3_acc,diagnostic_brier,nll,diagnostic_ece,new_questions,verification_questions,total_atomic_questions,extra_questions_after_threshold,unnecessary_verification_rate,conflict_resolution_rate,early_stop_rate,premature_stop_rate,stop_audit_triggers_per_dialogue,mean_wall_seconds
L-H,all,1470,0.780952,0.859184,0.291447,0.876289,0.042659,8.959864,0.492517,9.452381,2.423129,0.629834,0.324586,0.540136,0.037415,2.289796,5.031086
L-H,0.2,735,0.814966,0.884354,0.231940,0.692572,0.029569,8.839456,0.478912,9.318367,2.342857,0.644886,0.323864,0.553741,0.024490,2.323810,5.035321
L-H,0.3,735,0.746939,0.834014,0.350954,1.060006,0.068617,9.080272,0.506122,9.586395,2.503401,0.615591,0.325269,0.526531,0.050340,2.255782,5.026851
P-H,all,1470,0.778231,0.840816,0.277110,0.823723,0.009868,13.442857,0.567347,14.010204,5.069388,0.654676,0.315348,0.102721,0.002041,5.275510,8.480483
P-H,0.2,735,0.804082,0.859864,0.243177,0.727652,0.014579,13.439456,0.548299,13.987755,5.278912,0.704715,0.270471,0.107483,0.002721,5.609524,8.548679
P-H,0.3,735,0.752381,0.821769,0.311042,0.919795,0.013043,13.446259,0.586395,14.032653,4.859864,0.607889,0.357309,0.097959,0.001361,4.941497,8.412286
L-V,all,1470,0.770748,0.848980,0.317928,0.954841,0.048948,7.302721,0.476190,7.778912,0.867347,0.628571,0.327143,0.780272,0.074830,0.705442,4.225882
L-V,0.2,735,0.804082,0.873469,0.258362,0.778878,0.035017,7.189116,0.462585,7.651701,0.790476,0.650000,0.323529,0.786395,0.051701,0.685714,4.200294
L-V,0.3,735,0.737415,0.824490,0.377494,1.130805,0.075193,7.416327,0.489796,7.906122,0.944218,0.608333,0.330556,0.774150,0.097959,0.725170,4.251470
P-V,all,1470,0.768707,0.834694,0.304215,0.922135,0.021119,8.359184,0.521769,8.880952,0.331973,0.653194,0.315515,0.717007,0.040816,0.410884,5.382693
P-V,0.2,735,0.798639,0.851701,0.259932,0.804166,0.042864,8.096599,0.508844,8.605442,0.299320,0.697861,0.275401,0.751020,0.031293,0.416327,5.305691
P-V,0.3,735,0.738776,0.817687,0.348497,1.040103,0.014669,8.621769,0.534694,9.156463,0.364626,0.610687,0.353690,0.682993,0.050340,0.405442,5.459696
