true_state,rho_env,first_answer,second_answer,empirical_probability
absent,0.0,absent,absent,0.74725
absent,0.0,absent,present,0.03985
absent,0.0,absent,__unknown__,0.07845
absent,0.0,present,absent,0.0376
absent,0.0,present,present,0.002
absent,0.0,present,__unknown__,0.0038
absent,0.0,__unknown__,absent,0.07845
absent,0.0,__unknown__,present,0.00415
absent,0.0,__unknown__,__unknown__,0.00845
absent,0.5,absent,absent,0.7859
absent,0.5,absent,present,0.0273
absent,0.5,absent,__unknown__,0.05235
absent,0.5,present,absent,0.02635
absent,0.5,present,present,0.01235
absent,0.5,present,__unknown__,0.0047
absent,0.5,__unknown__,absent,0.0542
absent,0.5,__unknown__,present,0.00475
absent,0.5,__unknown__,__unknown__,0.0321
absent,0.9,absent,absent,0.8147
absent,0.9,absent,present,0.01795
absent,0.9,absent,__unknown__,0.0329
absent,0.9,present,absent,0.01735
absent,0.9,present,present,0.02105
absent,0.9,present,__unknown__,0.005
absent,0.9,__unknown__,absent,0.03305
absent,0.9,__unknown__,present,0.00545
absent,0.9,__unknown__,__unknown__,0.05255
present,0.0,absent,absent,0.00205
present,0.0,absent,present,0.03705
present,0.0,absent,__unknown__,0.004
present,0.0,present,absent,0.04135
present,0.0,present,present,0.74625
present,0.0,present,__unknown__,0.07825
present,0.0,__unknown__,absent,0.00385
present,0.0,__unknown__,present,0.07875
present,0.0,__unknown__,__unknown__,0.00845
present,0.5,absent,absent,0.0121
present,0.5,absent,present,0.0259
present,0.5,absent,__unknown__,0.0051
present,0.5,present,absent,0.0273
present,0.5,present,present,0.7866
present,0.5,present,__unknown__,0.05195
present,0.5,__unknown__,absent,0.0053
present,0.5,__unknown__,present,0.05365
present,0.5,__unknown__,__unknown__,0.0321
present,0.9,absent,absent,0.02205
present,0.9,absent,present,0.01565
present,0.9,absent,__unknown__,0.0054
present,0.9,present,absent,0.02015
present,0.9,present,present,0.8132
present,0.9,present,__unknown__,0.0325
present,0.9,__unknown__,absent,0.00525
present,0.9,__unknown__,present,0.03325
present,0.9,__unknown__,__unknown__,0.05255
