metric,rho_model,matched_env,mismatched_env,matched_value,mismatched_value,delta
top1_accuracy,0.5,0.5,0.0,0.771429,0.777551,0.006122
top3_accuracy,0.5,0.5,0.0,0.851701,0.853061,0.00136
mean_brier,0.5,0.5,0.0,0.309562,0.302712,-0.00685
mean_nll,0.5,0.5,0.0,0.917354,0.901459,-0.015895
mean_confidence,0.5,0.5,0.0,0.820852,0.821232,0.00038
ece,0.5,0.5,0.0,0.050881,0.047134,-0.003747
mean_posterior_entropy,0.5,0.5,0.0,0.664533,0.662302,-0.002231
mean_new_questions,0.5,0.5,0.0,9.8912,9.9034,0.0122
mean_verification_questions,0.5,0.5,0.0,0.1,0.1,0.0
mean_total_turns,0.5,0.5,0.0,9.9912,10.0034,0.0122
top1_accuracy,0.5,0.5,0.9,0.771429,0.772109,0.00068
top3_accuracy,0.5,0.5,0.9,0.851701,0.85102,-0.000681
mean_brier,0.5,0.5,0.9,0.309562,0.308122,-0.00144
mean_nll,0.5,0.5,0.9,0.917354,0.920977,0.003623
mean_confidence,0.5,0.5,0.9,0.820852,0.823739,0.002887
ece,0.5,0.5,0.9,0.050881,0.053029,0.002148
mean_posterior_entropy,0.5,0.5,0.9,0.664533,0.656033,-0.0085
mean_new_questions,0.5,0.5,0.9,9.8912,9.8823,-0.0089
mean_verification_questions,0.5,0.5,0.9,0.1,0.1,0.0
mean_total_turns,0.5,0.5,0.9,9.9912,9.9823,-0.0089
