true_state,rho,first_answer,second_answer,empirical_probability,theoretical_probability,absolute_error
absent,0.0,absent,absent,0.74725,0.744769,0.002481
absent,0.0,absent,present,0.03985,0.0385761,0.0012739
absent,0.0,absent,__unknown__,0.07845,0.0796549,0.0012049
absent,0.0,present,absent,0.0376,0.0385761,0.0009761
absent,0.0,present,present,0.002,0.00199809,1.91e-06
absent,0.0,present,__unknown__,0.0038,0.00412581,0.00032581
absent,0.0,__unknown__,absent,0.07845,0.0796549,0.0012049
absent,0.0,__unknown__,present,0.00415,0.00412581,2.419e-05
absent,0.0,__unknown__,__unknown__,0.00845,0.00851929,6.929e-05
absent,0.5,absent,absent,0.7859,0.7814095,0.0044905
absent,0.5,absent,present,0.0273,0.02709605,0.00020395
absent,0.5,absent,__unknown__,0.05235,0.05449445,0.00214445
absent,0.5,present,absent,0.02635,0.02709605,0.00074605
absent,0.5,present,present,0.01235,0.01238754,3.754e-05
absent,0.5,present,__unknown__,0.0047,0.00521641,0.00051641
absent,0.5,__unknown__,absent,0.0542,0.05449445,0.00029445
absent,0.5,__unknown__,present,0.00475,0.0052164,0.0004664
absent,0.5,__unknown__,__unknown__,0.0321,0.03258914,0.00048915
absent,0.9,absent,absent,0.8147,0.8107219,0.0039781
absent,0.9,absent,present,0.01795,0.01791201,3.799e-05
absent,0.9,absent,__unknown__,0.0329,0.03436609,0.00146609
absent,0.9,present,absent,0.01735,0.01791201,0.00056201
absent,0.9,present,present,0.02105,0.02069911,0.00035089
absent,0.9,present,__unknown__,0.005,0.00608888,0.00108888
absent,0.9,__unknown__,absent,0.03305,0.03436609,0.00131609
absent,0.9,__unknown__,present,0.00545,0.00608888,0.00063888
absent,0.9,__unknown__,__unknown__,0.05255,0.05184503,0.00070497
present,0.0,absent,absent,0.00205,0.00199809,5.191e-05
present,0.0,absent,present,0.03705,0.0385761,0.0015261
present,0.0,absent,__unknown__,0.004,0.00412581,0.00012581
present,0.0,present,absent,0.04135,0.0385761,0.0027739
present,0.0,present,present,0.74625,0.744769,0.001481
present,0.0,present,__unknown__,0.07825,0.0796549,0.0014049
present,0.0,__unknown__,absent,0.00385,0.00412581,0.00027581
present,0.0,__unknown__,present,0.07875,0.0796549,0.0009049
present,0.0,__unknown__,__unknown__,0.00845,0.00851929,6.929e-05
present,0.5,absent,absent,0.0121,0.01238754,0.00028755
present,0.5,absent,present,0.0259,0.02709605,0.00119605
present,0.5,absent,__unknown__,0.0051,0.00521641,0.0001164
present,0.5,present,absent,0.0273,0.02709605,0.00020395
present,0.5,present,present,0.7866,0.7814095,0.0051905
present,0.5,present,__unknown__,0.05195,0.05449445,0.00254445
present,0.5,__unknown__,absent,0.0053,0.0052164,8.36e-05
present,0.5,__unknown__,present,0.05365,0.05449445,0.00084445
present,0.5,__unknown__,__unknown__,0.0321,0.03258914,0.00048915
present,0.9,absent,absent,0.02205,0.02069911,0.00135089
present,0.9,absent,present,0.01565,0.01791201,0.00226201
present,0.9,absent,__unknown__,0.0054,0.00608888,0.00068888
present,0.9,present,absent,0.02015,0.01791201,0.00223799
present,0.9,present,present,0.8132,0.8107219,0.0024781
present,0.9,present,__unknown__,0.0325,0.03436609,0.00186609
present,0.9,__unknown__,absent,0.00525,0.00608888,0.00083888
present,0.9,__unknown__,present,0.03325,0.03436609,0.00111609
present,0.9,__unknown__,__unknown__,0.05255,0.05184503,0.00070497
