true_state,rho_model,first_answer,second_answer,theoretical_probability
absent,0.0,absent,absent,0.744769
absent,0.0,absent,present,0.0385761
absent,0.0,absent,__unknown__,0.0796549
absent,0.0,present,absent,0.0385761
absent,0.0,present,present,0.00199809
absent,0.0,present,__unknown__,0.00412581
absent,0.0,__unknown__,absent,0.0796549
absent,0.0,__unknown__,present,0.00412581
absent,0.0,__unknown__,__unknown__,0.00851929
absent,0.5,absent,absent,0.7814095
absent,0.5,absent,present,0.02709605
absent,0.5,absent,__unknown__,0.05449445
absent,0.5,present,absent,0.02709605
absent,0.5,present,present,0.01238754
absent,0.5,present,__unknown__,0.00521641
absent,0.5,__unknown__,absent,0.05449445
absent,0.5,__unknown__,present,0.0052164
absent,0.5,__unknown__,__unknown__,0.03258914
absent,0.9,absent,absent,0.8107219
absent,0.9,absent,present,0.01791201
absent,0.9,absent,__unknown__,0.03436609
absent,0.9,present,absent,0.01791201
absent,0.9,present,present,0.02069911
absent,0.9,present,__unknown__,0.00608888
absent,0.9,__unknown__,absent,0.03436609
absent,0.9,__unknown__,present,0.00608888
absent,0.9,__unknown__,__unknown__,0.05184503
present,0.0,absent,absent,0.00199809
present,0.0,absent,present,0.0385761
present,0.0,absent,__unknown__,0.00412581
present,0.0,present,absent,0.0385761
present,0.0,present,present,0.744769
present,0.0,present,__unknown__,0.0796549
present,0.0,__unknown__,absent,0.00412581
present,0.0,__unknown__,present,0.0796549
present,0.0,__unknown__,__unknown__,0.00851929
present,0.5,absent,absent,0.01238754
present,0.5,absent,present,0.02709605
present,0.5,absent,__unknown__,0.00521641
present,0.5,present,absent,0.02709605
present,0.5,present,present,0.7814095
present,0.5,present,__unknown__,0.05449445
present,0.5,__unknown__,absent,0.0052164
present,0.5,__unknown__,present,0.05449445
present,0.5,__unknown__,__unknown__,0.03258914
present,0.9,absent,absent,0.02069911
present,0.9,absent,present,0.01791201
present,0.9,absent,__unknown__,0.00608888
present,0.9,present,absent,0.01791201
present,0.9,present,present,0.8107219
present,0.9,present,__unknown__,0.03436609
present,0.9,__unknown__,absent,0.00608888
present,0.9,__unknown__,present,0.03436609
present,0.9,__unknown__,__unknown__,0.05184503
