subset,comparison,a,b,level,metric,statistic,point_estimate,boot_mean,ci_low,ci_high,boot_std,n_pairs
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.0,top1,mean_paired_delta,0.00045351,0.00044444,0.0,0.00136054,0.00043698,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.0,top3,mean_paired_delta,0.00045351,0.00044444,0.0,0.00136054,0.00043698,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.0,brier,mean_paired_delta,-0.00014171,-0.00013713,-0.00079036,0.00042826,0.00030976,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.0,nll,mean_paired_delta,-0.00077779,-0.0007588,-0.00315147,0.00071709,0.00104125,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.0,margin,mean_paired_delta,-3.737e-05,-3.801e-05,-0.00042112,0.00025218,0.00017688,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.0,total_questions,mean_paired_delta,0.00408163,0.00408272,0.00181406,0.00680272,0.00131347,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.0,unnecessary_verification_rate,rate_delta,-0.00729647,-0.00719402,-0.03166803,0.0074129,0.01068896,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.0,conflict_resolution_rate,rate_delta,0.00729647,0.00719402,-0.00740741,0.03167421,0.01068896,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.1,top1,mean_paired_delta,0.00181406,0.00181152,-0.00181406,0.00544218,0.00186758,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.1,top3,mean_paired_delta,0.00181406,0.00182172,-0.00090703,0.00498866,0.00153873,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.1,brier,mean_paired_delta,-0.00239911,-0.0024091,-0.00590095,0.00096607,0.00175285,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.1,nll,mean_paired_delta,-0.0060443,-0.00606787,-0.01769526,0.00448007,0.00564437,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.1,margin,mean_paired_delta,0.00120239,0.00120313,-0.00140318,0.00383673,0.00133026,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.1,total_questions,mean_paired_delta,0.03945578,0.03971429,0.01950113,0.06077098,0.01043702,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.1,unnecessary_verification_rate,rate_delta,-0.02843073,-0.02816437,-0.05022593,-0.00628464,0.01118011,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.1,conflict_resolution_rate,rate_delta,0.0297776,0.02951741,0.00775099,0.05138285,0.01114753,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2,top1,mean_paired_delta,0.00181406,0.0017863,-0.00362812,0.00725624,0.00270828,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2,top3,mean_paired_delta,0.00045351,0.00044181,-0.00408163,0.00498866,0.00232581,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2,brier,mean_paired_delta,-0.00232222,-0.00230909,-0.00834241,0.00362374,0.00304694,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2,nll,mean_paired_delta,-0.01418024,-0.01413945,-0.0321131,0.00317064,0.00900132,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2,margin,mean_paired_delta,-0.00114449,-0.00117932,-0.00483194,0.00238516,0.00181487,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2,total_questions,mean_paired_delta,0.06485261,0.06485583,0.03219955,0.10022676,0.01742121,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2,unnecessary_verification_rate,rate_delta,-0.0274007,-0.02751839,-0.04599143,-0.00883029,0.00939648,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2,conflict_resolution_rate,rate_delta,0.02269985,0.02282047,0.0044792,0.04099517,0.00924233,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.3,top1,mean_paired_delta,-0.00498866,-0.0049707,-0.01315193,0.0031746,0.00411738,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.3,top3,mean_paired_delta,-0.00090703,-0.00090349,-0.00770975,0.00589569,0.00353103,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.3,brier,mean_paired_delta,0.00828251,0.00826205,-0.00199859,0.01872635,0.00528292,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.3,nll,mean_paired_delta,0.00759552,0.00757197,-0.02367499,0.03858137,0.01602501,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.3,margin,mean_paired_delta,-0.00278122,-0.00280128,-0.00907522,0.00369788,0.00329625,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.3,total_questions,mean_paired_delta,0.06349206,0.06376635,0.02312925,0.10430839,0.02046635,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.3,unnecessary_verification_rate,rate_delta,-0.03571511,-0.03560737,-0.05617389,-0.01548077,0.01031557,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.3,conflict_resolution_rate,rate_delta,0.03349142,0.03337122,0.01319135,0.0534384,0.01020906,2205
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,top1,mean_paired_delta,-0.0015873,-0.0015922,-0.00612245,0.00294785,0.00237113,4410
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,top3,mean_paired_delta,-0.00022676,-0.00023084,-0.00408163,0.00385488,0.00201869,4410
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,brier,mean_paired_delta,0.00298014,0.00297648,-0.00284912,0.00887365,0.00299481,4410
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,nll,mean_paired_delta,-0.00329236,-0.00328374,-0.02069454,0.01403769,0.00888365,4410
