subset,config,noise_rate,n,ece_15bin,mean_confidence,mean_accuracy
primary,rank_only_w0.0,0.0,2205,0.042466,0.913997,0.956463
primary,rank_only_w0.0,0.1,2205,0.024718,0.870417,0.893424
primary,rank_only_w0.0,0.2,2205,0.026099,0.829704,0.823129
primary,rank_only_w0.0,0.3,2205,0.052991,0.782505,0.733333
primary,rank_only_w1.0,0.0,2205,0.042904,0.914013,0.956916
primary,rank_only_w1.0,0.1,2205,0.025309,0.871531,0.895238
primary,rank_only_w1.0,0.2,2205,0.024974,0.829095,0.824943
primary,rank_only_w1.0,0.3,2205,0.057574,0.780545,0.728345
primary,joint_gate_w1.0,0.0,2205,0.048205,0.911049,0.959184
primary,joint_gate_w1.0,0.1,2205,0.027887,0.871846,0.896145
primary,joint_gate_w1.0,0.2,2205,0.023096,0.828325,0.829025
primary,joint_gate_w1.0,0.3,2205,0.053855,0.778833,0.733787
full_n20,rank_only_w0.0,0.0,2940,0.04389,0.911892,0.955782
full_n20,rank_only_w0.0,0.1,2940,0.024871,0.871066,0.895238
full_n20,rank_only_w0.0,0.2,2940,0.023913,0.828197,0.816327
full_n20,rank_only_w0.0,0.3,2940,0.047372,0.782686,0.736395
full_n20,rank_only_w1.0,0.0,2940,0.044272,0.911851,0.956122
full_n20,rank_only_w1.0,0.1,2940,0.024964,0.871956,0.896259
full_n20,rank_only_w1.0,0.2,2940,0.022526,0.826782,0.815306
full_n20,rank_only_w1.0,0.3,2940,0.049901,0.781938,0.736395
full_n20,joint_gate_w1.0,0.0,2940,0.050207,0.908637,0.958844
full_n20,joint_gate_w1.0,0.1,2940,0.029383,0.872267,0.89966
full_n20,joint_gate_w1.0,0.2,2940,0.023697,0.826819,0.820068
full_n20,joint_gate_w1.0,0.3,2940,0.047159,0.780032,0.738095
