subset,comparison,a,b,level,n_pairs,wrong_to_correct,correct_to_wrong,correct_to_correct,wrong_to_wrong,final_prediction_changed,trajectory_changed,trajectory_changed_but_prediction_unchanged,brier_only_improved_no_top1_change,mcnemar_wrong_to_correct,mcnemar_correct_to_wrong,mcnemar_p
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2,2205,22,18,1797,368,63,464,401,100,22,18,0.635828
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.3,2205,40,51,1566,548,166,655,489,178,40,51,0.29447
primary,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,4410,62,69,3363,916,229,1119,890,278,62,69,0.600295
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2,2205,18,9,1810,368,37,285,248,73,18,9,0.122078
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.3,2205,22,10,1596,577,52,269,217,68,22,10,0.050102
primary,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,4410,40,19,3406,945,89,554,465,141,40,19,0.008641
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2,2205,38,25,1790,352,96,681,585,154,38,25,0.129918
primary,total,joint_gate_w1.0,rank_only_w0.0,0.3,2205,58,57,1560,530,200,827,627,223,58,57,1.0
primary,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,4410,96,82,3350,882,296,1508,1212,377,96,82,0.329875
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2,2940,28,31,2369,512,90,632,542,134,28,31,0.794844
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.3,2940,63,63,2102,712,222,871,649,230,63,63,1.0
full_n20,ranking,rank_only_w1.0,rank_only_w0.0,0.2+0.3,5880,91,94,4471,1224,312,1503,1191,364,91,94,0.88315
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2,2940,24,10,2387,519,46,375,329,95,24,10,0.024307
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.3,2940,24,19,2146,751,69,351,282,87,24,19,0.542384
full_n20,gating,joint_gate_w1.0,rank_only_w1.0,0.2+0.3,5880,48,29,4533,1270,115,726,611,182,48,29,0.03954
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2,2940,48,37,2363,492,127,917,790,209,48,37,0.277999
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.3,2940,80,75,2090,695,265,1103,838,290,80,75,0.748111
full_n20,total,joint_gate_w1.0,rank_only_w0.0,0.2+0.3,5880,128,112,4453,1187,392,2020,1628,499,128,112,0.332933
