subset,config,noise_rate,n_case_seed_pairs,top1_accuracy,top3_accuracy,brier_score_mean,nll_mean,posterior_margin_mean,ece_15bin,premature_stop_rate,uncertain_output_rate,new_questions_mean,verification_questions_mean,total_atomic_questions_mean,unnecessary_verification_rate,conflict_resolution_rate,retrieval_triggered_verifications,retrieval_triggered_hits,retrieval_triggered_cases,triggered_true_hit_rate,gate_open_but_asknew,gate_open_and_verify,ordinary_retrieves_mean,counterfactual_retrieves_mean,wall_clock_mean,stop_reason_counts
primary,rank_only_w0.0,0.0,2205,0.956463,0.984127,0.068412,0.190792,0.883124,0.042466,0.00771,0.015873,7.189569,0.038095,7.227664,0.964286,0.035714,0,0,0,0.0,0,0,8.119,44.544,7.068,"{""confidence, marginal utility, and report-risk checks passed"": 1931, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 35, ""total_turn_budget"": 239}"
primary,rank_only_w0.0,0.1,2205,0.893424,0.94966,0.154294,0.422216,0.829226,0.024718,0.020408,0.015873,7.890249,0.25805,8.148299,0.768014,0.223199,0,0,0,0.0,0,0,8.962,60.553,5.2903,"{""confidence, marginal utility, and report-risk checks passed"": 1760, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 35, ""total_turn_budget"": 410}"
primary,rank_only_w0.0,0.2,2205,0.823129,0.905669,0.246207,0.724352,0.778442,0.026099,0.0322,0.01678,8.647619,0.42449,9.072109,0.688034,0.301282,0,0,0,0.0,0,0,9.813,71.588,7.9571,"{""confidence, marginal utility, and report-risk checks passed"": 1597, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 37, ""total_turn_budget"": 571}"
primary,rank_only_w0.0,0.3,2205,0.733333,0.841723,0.364053,1.080954,0.72046,0.052991,0.052154,0.013152,9.276644,0.52517,9.801814,0.585492,0.382556,0,0,0,0.0,0,0,10.459,78.642,9.3171,"{""confidence, marginal utility, and report-risk checks passed"": 1421, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 29, ""total_turn_budget"": 755}"
primary,rank_only_w1.0,0.0,2205,0.956916,0.98458,0.06827,0.190014,0.883087,0.042904,0.00771,0.015873,7.189569,0.042177,7.231746,0.956989,0.043011,0,0,0,0.0,0,0,8.123,44.425,0.2669,"{""confidence, marginal utility, and report-risk checks passed"": 1931, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 35, ""total_turn_budget"": 239}"
primary,rank_only_w1.0,0.1,2205,0.895238,0.951474,0.151895,0.416171,0.830429,0.025309,0.019048,0.016327,7.882993,0.304762,8.187755,0.739583,0.252976,0,0,0,0.0,0,0,9.001,58.516,4.6623,"{""confidence, marginal utility, and report-risk checks passed"": 1757, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 36, ""total_turn_budget"": 412}"
primary,rank_only_w1.0,0.2,2205,0.824943,0.906122,0.243885,0.710172,0.777298,0.024974,0.031293,0.018141,8.635828,0.501134,9.136961,0.660633,0.323982,0,0,0,0.0,0,0,9.88,67.669,1.1308,"{""confidence, marginal utility, and report-risk checks passed"": 1598, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 40, ""total_turn_budget"": 567}"
primary,rank_only_w1.0,0.3,2205,0.728345,0.840816,0.372335,1.088549,0.717679,0.057574,0.053515,0.012698,9.254875,0.610431,9.865306,0.549777,0.416048,0,0,0,0.0,0,0,10.523,72.382,1.6988,"{""confidence, marginal utility, and report-risk checks passed"": 1423, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 28, ""total_turn_budget"": 754}"
primary,joint_gate_w1.0,0.0,2205,0.959184,0.984127,0.069698,0.193947,0.880093,0.048205,0.006803,0.014966,7.131519,0.197732,7.329252,0.873853,0.126147,356,52,356,0.146067,124,356,8.212,77.218,0.6845,"{""confidence, marginal utility, and report-risk checks passed"": 1913, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 33, ""total_turn_budget"": 259}"
primary,joint_gate_w1.0,0.1,2205,0.896145,0.953288,0.147481,0.401847,0.830792,0.027887,0.017234,0.01678,7.812698,0.40771,8.220408,0.714127,0.279199,328,129,328,0.393293,116,328,9.034,78.583,0.9654,"{""confidence, marginal utility, and report-risk checks passed"": 1756, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 37, ""total_turn_budget"": 412}"
primary,joint_gate_w1.0,0.2,2205,0.829025,0.908844,0.239634,0.697884,0.777066,0.023096,0.030839,0.018141,8.570068,0.559184,9.129252,0.646391,0.337388,285,151,285,0.529825,105,285,9.876,80.064,4.7958,"{""confidence, marginal utility, and report-risk checks passed"": 1606, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 40, ""total_turn_budget"": 559}"
primary,joint_gate_w1.0,0.3,2205,0.733787,0.844898,0.364505,1.064303,0.715127,0.053855,0.051247,0.012698,9.233107,0.654875,9.887982,0.540166,0.42313,269,166,269,0.6171,104,269,10.542,81.099,1.1633,"{""confidence, marginal utility, and report-risk checks passed"": 1415, ""no positive-utility acquisition action or a reliability/safety check remains; return uncertainty"": 28, ""total_turn_budget"": 762}"
