config,noise_rate,cases,top1_accuracy,top3_accuracy,brier_score,new_questions_mean,verification_questions_mean,total_atomic_questions_mean,total_atomic_questions_sum,unnecessary_verification_rate,conflict_resolution_rate,premature_stop_rate,uncertain_output_rate,retrieval_triggered_verifications,retrieval_triggered_hits,retrieval_triggered_cases,triggered_verification_true_hit_rate,gate_open_but_asknew,gate_open_and_verify,ordinary_retrieves_mean,counterfactual_retrieves_mean
joint_gate_w0.1,0.2,245,0.7959183673469388,0.8693877551020408,0.2835034601632653,8.848979591836734,0.5387755102040817,9.387755102040817,2300,0.5681818181818182,0.4015151515151515,0.04081632653061224,0.004081632653061225,23,17,23,0.7391304347826086,28,23,10.10204081632653,86.64081632653061
joint_gate_w0.1,0.3,245,0.7795918367346939,0.8693877551020408,0.32590949359183674,8.971428571428572,0.5714285714285714,9.542857142857143,2338,0.5785714285714286,0.4,0.061224489795918366,0.012244897959183673,25,15,25,0.6,28,25,10.269387755102041,85.48571428571428
joint_gate_w0.5,0.2,245,0.7877551020408163,0.8653061224489796,0.290287418244898,8.791836734693877,0.5795918367346938,9.371428571428572,2296,0.5492957746478874,0.4014084507042254,0.044897959183673466,0.004081632653061225,28,20,28,0.7142857142857143,22,28,10.085714285714285,83.86122448979592
joint_gate_w0.5,0.3,245,0.7755102040816326,0.8693877551020408,0.3272070875510204,8.918367346938776,0.6081632653061224,9.526530612244898,2334,0.5436241610738255,0.4228187919463087,0.061224489795918366,0.012244897959183673,27,16,27,0.5925925925925926,18,27,10.253061224489796,81.62857142857143
joint_gate_w1.0,0.2,245,0.7918367346938775,0.8653061224489796,0.2819443908571429,8.783673469387756,0.6,9.383673469387755,2299,0.5578231292517006,0.3945578231292517,0.044897959183673466,0.004081632653061225,31,21,31,0.6774193548387096,14,31,10.110204081632654,82.23673469387755
joint_gate_w1.0,0.3,245,0.7877551020408163,0.8857142857142857,0.30376332379591836,8.918367346938776,0.6571428571428571,9.575510204081633,2346,0.5590062111801242,0.40993788819875776,0.04897959183673469,0.012244897959183673,28,17,28,0.6071428571428571,13,28,10.293877551020408,79.87346938775511
rank_only_w0.0,0.2,245,0.7918367346938775,0.8734693877551021,0.29263423089795915,8.918367346938776,0.47346938775510206,9.391836734693877,2301,0.6206896551724138,0.3448275862068966,0.053061224489795916,0.00816326530612245,0,0,0,,0,0,10.118367346938776,73.95918367346938
rank_only_w0.0,0.3,245,0.7877551020408163,0.8693877551020408,0.32498992502040813,8.975510204081633,0.5061224489795918,9.481632653061224,2323,0.6048387096774194,0.3709677419354839,0.06938775510204082,0.012244897959183673,0,0,0,,0,0,10.212244897959184,77.98775510204082
rank_only_w0.1,0.2,245,0.7877551020408163,0.8693877551020408,0.2874013783673469,8.918367346938776,0.4897959183673469,9.408163265306122,2305,0.6083333333333333,0.35833333333333334,0.044897959183673466,0.00816326530612245,0,0,0,,0,0,10.126530612244897,72.86530612244898
rank_only_w0.1,0.3,245,0.7918367346938775,0.8693877551020408,0.3177190538367347,8.971428571428572,0.5346938775510204,9.506122448979593,2329,0.5954198473282443,0.3816793893129771,0.0653061224489796,0.012244897959183673,0,0,0,,0,0,10.236734693877551,76.64489795918368
rank_only_w0.5,0.2,245,0.7836734693877551,0.8653061224489796,0.286443201755102,8.869387755102041,0.5224489795918368,9.391836734693877,2301,0.578125,0.3671875,0.044897959183673466,0.00816326530612245,0,0,0,,0,0,10.110204081632654,70.33877551020409
rank_only_w0.5,0.3,245,0.7877551020408163,0.8693877551020408,0.3214100264897959,8.93061224489796,0.5714285714285714,9.50204081632653,2328,0.5642857142857143,0.40714285714285714,0.0653061224489796,0.012244897959183673,0,0,0,,0,0,10.23265306122449,73.04081632653062
rank_only_w1.0,0.2,245,0.7836734693877551,0.8612244897959184,0.2877525752244898,8.83673469387755,0.5387755102040817,9.375510204081632,2297,0.5833333333333334,0.36363636363636365,0.04897959183673469,0.00816326530612245,0,0,0,,0,0,10.10204081632653,68.7591836734694
rank_only_w1.0,0.3,245,0.8,0.8816326530612245,0.3003015064081633,8.955102040816326,0.6163265306122448,9.571428571428571,2345,0.5761589403973509,0.3973509933774834,0.05714285714285714,0.012244897959183673,0,0,0,,0,0,10.293877551020408,71.66122448979591
