pair,case_id,noise_rate,seed,correct_top1_a,correct_top1_b,delta_correct_top1,brier_score_a,brier_score_b,delta_brier_score,total_atomic_questions_a,total_atomic_questions_b,delta_total_atomic_questions,verification_questions_a,verification_questions_b,delta_verification_questions,unnecessary_verifications_a,unnecessary_verifications_b,delta_unnecessary_verifications
corrected_vs_heuristic,100333,0.2,2026.0,1,1,0.0,0.01404958,0.00014404,0.01390554,2,5,-3.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,100333,0.2,2027.0,1,1,0.0,5.222e-05,0.0055814,-0.00552918,6,6,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,100333,0.2,2028.0,1,1,0.0,0.00104417,0.00104417,0.0,2,2,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,100333,0.3,2026.0,1,1,0.0,0.00104417,0.00104417,0.0,2,2,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,100333,0.3,2027.0,1,1,0.0,0.00104417,0.00104417,0.0,2,2,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,100333,0.3,2028.0,1,1,0.0,0.00104417,0.00104417,0.0,2,2,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,100786,0.2,2026.0,1,1,0.0,0.00682778,7.129e-05,0.00675649,8,7,1.0,1,1,0.0,0,1,-1.0
corrected_vs_heuristic,100786,0.2,2027.0,1,1,0.0,0.00267944,0.00031848,0.00236096,6,9,-3.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,100786,0.2,2028.0,1,1,0.0,0.00273291,7.191e-05,0.002661,9,9,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,100786,0.3,2026.0,1,1,0.0,0.00086641,0.00351812,-0.00265171,12,10,2.0,1,1,0.0,1,0,1.0
corrected_vs_heuristic,100786,0.3,2027.0,1,0,1.0,0.00380653,0.9176456,-0.91383907,5,15,-10.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,100786,0.3,2028.0,1,1,0.0,0.01225333,7.129e-05,0.01218204,7,7,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,100894,0.2,2026.0,1,1,0.0,0.00140548,0.00760862,-0.00620314,14,7,7.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,100894,0.2,2027.0,1,1,0.0,0.00063794,0.0096634,-0.00902546,7,5,2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,100894,0.2,2028.0,1,1,0.0,0.01391732,0.0020857,0.01183162,5,4,1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,100894,0.3,2026.0,1,1,0.0,0.00063588,0.0096634,-0.00902752,6,5,1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,100894,0.3,2027.0,1,1,0.0,0.0016335,0.00143336,0.00020014,10,11,-1.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,100894,0.3,2028.0,1,1,0.0,0.00071646,0.0096634,-0.00894694,7,5,2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,101434,0.2,2026.0,1,1,0.0,0.00958545,0.00231187,0.00727358,11,13,-2.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,101434,0.2,2027.0,0,0,0.0,1.25867883,1.37607009,-0.11739126,15,15,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,101434,0.2,2028.0,0,1,-1.0,1.15588263,0.44056216,0.71532047,15,15,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,101434,0.3,2026.0,1,1,0.0,0.48091727,0.14422927,0.336688,15,15,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,101434,0.3,2027.0,1,0,1.0,0.01902563,0.73179145,-0.71276582,13,15,-2.0,1,1,0.0,0,1,-1.0
corrected_vs_heuristic,101434,0.3,2028.0,1,0,1.0,0.75239724,1.06257061,-0.31017337,15,15,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,101999,0.2,2026.0,1,1,0.0,0.0037733,0.00383549,-6.219e-05,3,2,1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,101999,0.2,2027.0,1,1,0.0,0.0037733,0.00383549,-6.219e-05,3,2,1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,101999,0.2,2028.0,1,1,0.0,0.00763783,0.00210195,0.00553588,3,5,-2.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,101999,0.3,2026.0,1,1,0.0,0.0037733,0.00383549,-6.219e-05,3,2,1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,101999,0.3,2027.0,1,1,0.0,0.0037733,0.00383549,-6.219e-05,3,2,1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,101999,0.3,2028.0,1,1,0.0,0.00642346,0.00524173,0.00118173,3,4,-1.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,102209,0.2,2026.0,1,1,0.0,0.00518576,0.00208545,0.00310031,6,6,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,102209,0.2,2027.0,1,1,0.0,0.00012002,0.0001637,-4.368e-05,4,3,1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102209,0.2,2028.0,1,1,0.0,0.01769187,0.00019556,0.01749631,6,6,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,102209,0.3,2026.0,0,1,-1.0,1.92256059,0.00588412,1.91667647,4,5,-1.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,102209,0.3,2027.0,1,1,0.0,0.00171812,0.00236508,-0.00064696,4,3,1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102209,0.3,2028.0,1,1,0.0,0.00033147,0.00599011,-0.00565864,9,12,-3.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,102711,0.2,2026.0,1,1,0.0,0.01949391,0.00522711,0.0142668,1,8,-7.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,102711,0.2,2027.0,1,1,0.0,0.02500434,0.00425894,0.0207454,2,10,-8.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102711,0.2,2028.0,1,1,0.0,0.01949391,0.00599896,0.01349495,1,5,-4.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102711,0.3,2026.0,1,1,0.0,0.01079208,0.03441774,-0.02362566,15,15,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102711,0.3,2027.0,1,1,0.0,0.01949391,0.00389403,0.01559988,1,5,-4.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102711,0.3,2028.0,1,1,0.0,0.01949391,0.0013888,0.01810511,1,4,-3.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102872,0.2,2026.0,1,1,0.0,7.583e-05,6.024e-05,1.559e-05,5,5,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102872,0.2,2027.0,1,1,0.0,7.583e-05,1.766e-05,5.817e-05,5,6,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102872,0.2,2028.0,1,1,0.0,0.00013834,2.816e-05,0.00011018,4,5,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102872,0.3,2026.0,1,1,0.0,1.066e-05,0.00026495,-0.00025429,9,5,4.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,102872,0.3,2027.0,1,1,0.0,0.00130488,2.867e-05,0.00127621,5,5,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102872,0.3,2028.0,0,0,0.0,1.77638613,1.05004955,0.72633658,5,15,-10.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,102986,0.2,2026.0,1,1,0.0,7.893e-05,7.893e-05,0.0,7,7,0.0,1,1,0.0,0,0,0.0
corrected_vs_heuristic,102986,0.2,2027.0,1,1,0.0,0.03843531,0.0053433,0.03309201,7,8,-1.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,102986,0.2,2028.0,1,1,0.0,0.00800102,8.672e-05,0.0079143,5,7,-2.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,102986,0.3,2026.0,1,1,0.0,0.00040953,0.00040953,0.0,5,5,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,102986,0.3,2027.0,1,1,0.0,0.00456254,0.00962465,-0.00506211,6,6,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,102986,0.3,2028.0,0,1,-1.0,1.66708747,0.0357871,1.63130037,2,14,-12.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,103775,0.2,2026.0,1,1,0.0,0.00048475,7.523e-05,0.00040952,2,3,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,103775,0.2,2027.0,1,1,0.0,0.00048475,7.523e-05,0.00040952,2,3,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,103775,0.2,2028.0,1,1,0.0,0.00048475,7.523e-05,0.00040952,2,3,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,103775,0.3,2026.0,1,1,0.0,0.00048475,0.00048475,0.0,2,3,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,103775,0.3,2027.0,1,1,0.0,0.00048475,8.102e-05,0.00040373,2,3,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,103775,0.3,2028.0,0,0,0.0,1.89523385,1.00858084,0.88665301,5,15,-10.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,104168,0.2,2026.0,1,1,0.0,0.01001012,0.00261274,0.00739738,2,3,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,104168,0.2,2027.0,1,1,0.0,0.01001012,0.00261274,0.00739738,2,3,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,104168,0.2,2028.0,1,1,0.0,0.01049845,0.00272589,0.00777256,3,6,-3.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,104168,0.3,2026.0,1,1,0.0,0.01001012,0.00261274,0.00739738,2,3,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,104168,0.3,2027.0,1,1,0.0,0.0067598,0.00172503,0.00503477,4,6,-2.0,1,1,0.0,0,0,0.0
corrected_vs_heuristic,104168,0.3,2028.0,1,1,0.0,0.01049845,0.00124985,0.0092486,3,5,-2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105358,0.2,2026.0,1,0,1.0,0.00627414,1.00729653,-1.00102239,8,15,-7.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,105358,0.2,2027.0,1,1,0.0,0.00319686,0.00469276,-0.0014959,6,4,2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105358,0.2,2028.0,0,1,-1.0,1.78391216,0.00018745,1.78372471,8,5,3.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105358,0.3,2026.0,1,1,0.0,0.00106455,0.00105375,1.08e-05,9,7,2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105358,0.3,2027.0,1,1,0.0,0.00041267,0.00060364,-0.00019097,7,9,-2.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,105358,0.3,2028.0,0,1,-1.0,1.089127,0.66844452,0.42068248,15,15,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,105717,0.2,2026.0,1,1,0.0,0.28193214,0.30549711,-0.02356497,15,6,9.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105717,0.2,2027.0,1,1,0.0,0.11494231,0.12698715,-0.01204484,15,6,9.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105717,0.2,2028.0,1,1,0.0,0.05307512,0.12698715,-0.07391203,15,6,9.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105717,0.3,2026.0,1,1,0.0,0.1241435,0.12698715,-0.00284365,15,6,9.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105717,0.3,2027.0,1,1,0.0,0.03754268,0.02616936,0.01137332,7,8,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105717,0.3,2028.0,1,1,0.0,0.12716009,0.12698715,0.00017294,15,6,9.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105944,0.2,2026.0,1,1,0.0,0.00122991,0.00122991,0.0,2,2,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105944,0.2,2027.0,1,1,0.0,0.00580217,0.00365365,0.00214852,10,6,4.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105944,0.2,2028.0,1,1,0.0,0.00122991,0.00122991,0.0,2,2,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105944,0.3,2026.0,1,1,0.0,0.00122991,0.00122991,0.0,2,2,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105944,0.3,2027.0,1,1,0.0,0.00122991,0.00122991,0.0,2,2,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,105944,0.3,2028.0,1,1,0.0,0.00122991,0.00122991,0.0,2,2,0.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,107295,0.2,2026.0,1,1,0.0,0.07484476,0.01977005,0.05507471,5,12,-7.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,107295,0.2,2027.0,0,1,-1.0,0.98910687,0.00108231,0.98802456,15,13,2.0,1,1,0.0,1,0,1.0
corrected_vs_heuristic,107295,0.2,2028.0,1,1,0.0,0.06359876,0.00529824,0.05830052,6,7,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,107295,0.3,2026.0,1,1,0.0,0.07484476,0.00760989,0.06723487,5,13,-8.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,107295,0.3,2027.0,1,1,0.0,0.04647486,0.48841989,-0.44194503,6,15,-9.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,107295,0.3,2028.0,0,1,-1.0,1.82339351,0.00372208,1.81967143,10,10,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,107435,0.2,2026.0,1,1,0.0,0.01853659,0.00067787,0.01785872,1,3,-2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,107435,0.2,2027.0,1,1,0.0,0.01853659,0.00067787,0.01785872,1,3,-2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,107435,0.2,2028.0,1,1,0.0,0.01853659,0.00067787,0.01785872,1,3,-2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,107435,0.3,2026.0,1,1,0.0,0.01853659,0.0258864,-0.00734981,1,9,-8.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,107435,0.3,2027.0,0,1,-1.0,1.03597353,0.44674962,0.58922391,15,15,0.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,107435,0.3,2028.0,1,1,0.0,0.01853659,0.0009342,0.01760239,1,3,-2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,107753,0.2,2026.0,1,0,1.0,0.0006126,0.89784951,-0.89723691,7,15,-8.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,107753,0.2,2027.0,1,1,0.0,0.00146321,0.00163295,-0.00016974,5,4,1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,107753,0.2,2028.0,1,1,0.0,0.00610267,0.00631346,-0.00021079,3,2,1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,107753,0.3,2026.0,0,1,-1.0,1.6913198,8.502e-05,1.69123478,1,15,-14.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,107753,0.3,2027.0,1,1,0.0,0.00246299,0.00041768,0.00204531,6,12,-6.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,107753,0.3,2028.0,1,1,0.0,8.988e-05,0.00647076,-0.00638088,6,7,-1.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,108419,0.2,2026.0,1,1,0.0,0.06994888,0.04470672,0.02524216,15,8,7.0,1,0,1.0,0,0,0.0
corrected_vs_heuristic,108419,0.2,2027.0,0,0,0.0,1.33890041,1.37912427,-0.04022386,15,11,4.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,108419,0.2,2028.0,1,1,0.0,0.11898983,0.12573929,-0.00674946,15,12,3.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,108419,0.3,2026.0,1,1,0.0,0.05768513,0.131681,-0.07399587,15,7,8.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,108419,0.3,2027.0,0,0,0.0,1.73340862,1.67744443,0.05596419,15,13,2.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,108419,0.3,2028.0,1,1,0.0,0.14609025,0.15060135,-0.0045111,15,15,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,108535,0.2,2026.0,1,1,0.0,0.00772826,0.00011157,0.00761669,9,8,1.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,108535,0.2,2027.0,0,1,-1.0,1.82800947,0.00337701,1.82463246,5,6,-1.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,108535,0.2,2028.0,1,1,0.0,0.00423181,0.00337701,0.0008548,9,6,3.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,108535,0.3,2026.0,1,1,0.0,0.0067943,0.00626236,0.00053194,12,9,3.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,108535,0.3,2027.0,0,1,-1.0,1.84214756,0.02496291,1.81718465,14,15,-1.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,108535,0.3,2028.0,1,1,0.0,0.00441174,0.00337701,0.00103473,8,6,2.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,109084,0.2,2026.0,1,1,0.0,0.00032177,0.00067694,-0.00035517,6,6,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,109084,0.2,2027.0,1,1,0.0,0.00155391,0.00034913,0.00120478,6,9,-3.0,1,1,0.0,0,1,-1.0
corrected_vs_heuristic,109084,0.2,2028.0,1,1,0.0,0.00418816,0.00042708,0.00376108,5,10,-5.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,109084,0.3,2026.0,1,1,0.0,0.01222387,0.00565723,0.00656664,8,11,-3.0,1,1,0.0,0,1,-1.0
corrected_vs_heuristic,109084,0.3,2027.0,1,1,0.0,0.00214589,0.00259456,-0.00044867,8,8,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,109084,0.3,2028.0,1,1,0.0,0.02594912,0.00513249,0.02081663,7,10,-3.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,109136,0.2,2026.0,1,1,0.0,0.02663848,0.00010447,0.02653401,2,6,-4.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,109136,0.2,2027.0,1,1,0.0,0.02663848,0.0016314,0.02500708,2,5,-3.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,109136,0.2,2028.0,1,1,0.0,0.02663848,0.00016059,0.02647789,2,8,-6.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,109136,0.3,2026.0,1,1,0.0,0.02663848,0.01359772,0.01304076,2,11,-9.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,109136,0.3,2027.0,1,1,0.0,0.02310029,0.00320421,0.01989608,3,12,-9.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,109136,0.3,2028.0,1,1,0.0,0.02874113,9.922e-05,0.02864191,3,8,-5.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,109937,0.2,2026.0,1,1,0.0,0.00246299,0.00048406,0.00197893,6,12,-6.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,109937,0.2,2027.0,1,1,0.0,0.00078943,0.00902807,-0.00823864,9,4,5.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,109937,0.2,2028.0,1,1,0.0,0.00406173,0.00902807,-0.00496634,8,4,4.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,109937,0.3,2026.0,1,1,0.0,6.974e-05,4.427e-05,2.547e-05,6,6,0.0,0,1,-1.0,0,1,-1.0
corrected_vs_heuristic,109937,0.3,2027.0,1,1,0.0,0.00406173,0.00902807,-0.00496634,8,4,4.0,0,0,0.0,0,0,0.0
corrected_vs_heuristic,109937,0.3,2028.0,0,1,-1.0,1.6913198,0.57596323,1.11535657,1,15,-14.0,0,1,-1.0,0,0,0.0
corrected_vs_heuristic,11076,0.2,2026.0,0,0,0.0,1.29317618,1.89551338,-0.6023372,15,12,3.0,1,1,0.0,1,1,0.0
