strategy,noise_rate,n_cases,correct_top1,correct_top3,brier_score,nll_score,new_questions,verification_questions,total_atomic_questions,unnecessary_verifications,resolved_wrong_reports,premature_stop,uncertain_output,stop_blocked_count,unnecessary_verification_rate,resolved_wrong_report_rate
heuristic_baseline,0.2,735,0.79319728,0.88163265,0.2824876,0.81361195,8.60272109,0.55918367,9.16190476,0.34013605,0.19863946,0.04081633,0.00952381,0.0,0.608273,0.355231
heuristic_baseline,0.3,735,0.75102041,0.85034014,0.33712129,1.00772081,9.28027211,0.66258503,9.94285714,0.37278912,0.26666667,0.04217687,0.00816327,0.0,0.562628,0.402464
model_based_v_bayes,0.2,735,0.55918367,0.64217687,0.57739142,1.9670636,3.00408163,0.13469388,3.13877551,0.10340136,0.02721088,0.03673469,0.5755102,0.0,0.767677,0.20202
model_based_v_bayes,0.3,735,0.49795918,0.6,0.65585032,2.17714526,3.06530612,0.13197279,3.19727891,0.09659864,0.03265306,0.05442177,0.60680272,0.0,0.731959,0.247423
unified_brier_audit_forced_verify,0.2,735,0.75102041,0.82176871,0.34748813,1.1131992,7.93469388,0.17278912,8.10748299,0.10204082,0.06802721,0.07482993,0.02312925,0.0,0.590551,0.393701
unified_brier_audit_forced_verify,0.3,735,0.70612245,0.78911565,0.44103932,1.41800894,8.47891156,0.21496599,8.69387755,0.13877551,0.06258503,0.1047619,0.02040816,0.0,0.64557,0.291139
unified_brier_audit_corrected,0.2,735,0.75782313,0.82585034,0.33209804,1.06445387,8.24761905,0.08435374,8.33197279,0.03265306,0.04897959,0.06666667,0.0,0.07891156,0.387097,0.580645
unified_brier_audit_corrected,0.3,735,0.70612245,0.78911565,0.43927819,1.40382033,8.78095238,0.11020408,8.89115646,0.05578231,0.0462585,0.10612245,0.0,0.08843537,0.506173,0.419753
unified_brier_audit_corrected_dynamic_rag,0.2,735,0.75782313,0.82585034,0.33209804,1.06445387,8.24761905,0.08435374,8.33197279,0.03265306,0.04897959,0.06666667,0.0,0.07891156,0.387097,0.580645
unified_brier_audit_corrected_dynamic_rag,0.3,735,0.70612245,0.78911565,0.43927819,1.40382033,8.78095238,0.11020408,8.89115646,0.05578231,0.0462585,0.10612245,0.0,0.08843537,0.506173,0.419753
